"Population in multidimensional poverty, headcount (%)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","58.8","","","",""
"75"," Albania","","","","","1.2","","","","","",""
"45"," Argentina","3.7","","","","","","","","","",""
"84"," Armenia","","","","","","0.6","","","","",""
"78"," Azerbaijan","","2.4","","","","","","","","",""
"139"," Bangladesh","","","59.5","","","","49.5","","","40.7",""
"54"," Barbados","","","","","","","","1.2","","",""
"52"," Belarus","0.4","","","","","","","","","",""
"103"," Belize","","6.9","","","","","7.4","","","",""
"167"," Benin","","69.8","","","","","","64.2","","",""
"132"," Bhutan","","","","","","29.4","","","","",""
"118"," Bolivia (Plurinational State of)","","","","20.6","","","","","","",""
"81"," Bosnia and Herzegovina","","3.5","","","","","","1.7","","",""
"79"," Brazil","","4.0","","","","","","3.1","2.9","2.4",""
"185"," Burkina Faso","","85.2","","","","82.8","","","","",""
"184"," Burundi","87.9","","","","","81.8","","","","",""
"143"," Cambodia","58.0","","","","","46.8","","","","33.8",""
"153"," Cameroon","","51.8","","","","","48.2","","","",""
"188"," Central African Republic","","80.5","","","","76.3","","","","",""
"186"," Chad","","","","","","86.9","","","","",""
"90"," China","","","","","6.0","","","5.2","","",""
"95"," Colombia","","","","","","7.6","","","","",""
"160"," Comoros","","","","","","","","34.3","","",""
"135"," Congo","","","","","32.7","","","43.0","","",""
"176"," Congo (Democratic Republic of the)","","","","","","74.4","","","","72.5",""
"171"," Côte d'Ivoire","50.0","","","","","","","59.3","","",""
"172"," Djibouti","","26.9","","","","","","","","",""
"99"," Dominican Republic","","","6.2","","","","","","6.0","",""
"89"," Ecuador","","10.6","","","","","","","","3.7",""
"111"," Egypt","","","","8.9","","","","","","4.2",""
"174"," Ethiopia","","","","","","","88.2","","","",""
"109"," Gabon","","","","","","","","16.7","","",""
"173"," Gambia","","60.8","","","","","","","57.2","",""
"70"," Georgia","2.2","","","","","","","","","",""
"139"," Ghana","","","","39.2","","","30.5","","","32.4",""
"183"," Guinea","86.5","","","","","","","73.8","","",""
"178"," Guinea-Bissau","","80.4","","","","","","","","",""
"127"," Guyana","","","7.9","","7.8","","","","","",""
"163"," Haiti","","59.3","","","","","","50.2","","",""
"130"," Honduras","","31.5","","","","","","20.7","","",""
"131"," India","","55.3","","","","","","","","",""
"113"," Indonesia","","","10.1","","","","","5.9","","",""
"121"," Iraq","","18.5","","","","","13.3","","","",""
"94"," Jamaica","","","","","","3.7","","2.7","","",""
"86"," Jordan","","","","","1.0","","","1.2","","",""
"56"," Kazakhstan","","1.8","","","","","1.1","","","",""
"146"," Kenya","","","","","48.2","","","","","36.0",""
"120"," Kyrgyzstan","","3.4","","","","","","1.8","","2.2",""
"138"," Lao People's Democratic Republic","","55.0","","","","","","36.8","","",""
"160"," Lesotho","","","","","49.5","","","","","",""
"177"," Liberia","","","81.9","","","","","","70.1","",""
"102"," Libya","","","1.4","","","","","","","",""
"158"," Madagascar","","","","","77.0","","","","","",""
"170"," Malawi","","","","","","66.7","","","","56.1",""
"105"," Maldives","","","","","2.0","","","","","",""
"175"," Mali","","85.6","","","","","","","78.4","",""
"157"," Mauritania","","","66.0","","","","55.6","","","",""
"77"," Mexico","","6.9","","","","","","6.0","","",""
"107"," Moldova (Republic of)","1.3","","","","","","","1.1","","",""
"92"," Mongolia","18.3","","","","","11.1","","","","",""
"48"," Montenegro","","3.0","","","","","","","0.5","",""
"123"," Morocco","","","","","","","15.6","","","",""
"181"," Mozambique","","","","","70.0","","70.2","","","",""
"125"," Namibia","","","42.1","","","","","","44.9","",""
"144"," Nepal","","62.1","","","","","41.4","","","26.6",""
"124"," Nicaragua","","","27.9","","","","19.4","","","",""
"187"," Niger","","93.4","","","","","","89.8","","",""
"152"," Nigeria","","","","53.8","","","43.3","","50.9","",""
"147"," Pakistan","","","43.5","","","","","","45.6","",""
"114"," Palestine, State of","","","2.0","","","1.9","","","","1.4",""
"87"," Peru","","","","16.1","","13.2","12.2","10.4","","",""
"116"," Philippines","","","","7.3","","","","","6.3","",""
"159"," Rwanda","86.5","","","","","70.8","","","","","53.9"
"92"," Saint Lucia","","","","","","","","0.8","","",""
"142"," Sao Tome and Principe","","","","","47.5","","","","","",""
"162"," Senegal","71.1","","","","","","69.4","","54.8","51.9",""
"66"," Serbia","","3.0","","","","0.3","","","","0.4",""
"179"," Sierra Leone","","","","79.7","","72.7","","","77.5","",""
"0"," Somalia","","81.8","","","","","","","","",""
"119"," South Africa","","","","9.4","","","","10.3","","",""
"181"," South Sudan","","","","","","89.3","","","","",""
"165"," Sudan","","","","","","53.1","","","","",""
"97"," Suriname","","9.2","","","","7.6","","","","",""
"148"," Swaziland","","","","","","25.9","","","","",""
"149"," Syrian Arab Republic","","6.4","","","7.2","","","","","",""
"129"," Tajikistan","14.7","","","","","","","7.9","","",""
"151"," Tanzania (United Republic of)","","","","","","66.4","","","","",""
"87"," Thailand","","1.0","","","","","","","","",""
"82"," The former Yugoslav Republic of Macedonia","3.0","","","","","","1.7","","","",""
"133"," Timor-Leste","","","","","","64.3","","","","",""
"166"," Togo","","53.1","","","","50.9","","","","48.5",""
"65"," Trinidad and Tobago","","1.8","","","","","","","","",""
"97"," Tunisia","","","","","","","","1.5","","",""
"111"," Turkmenistan","","3.0","","","","","","","","",""
"163"," Uganda","","74.5","","","","","70.3","","","",""
"84"," Ukraine","","","0.6","","","","","0.4","","",""
"105"," Uzbekistan","","3.5","","","","","","","","",""
"134"," Vanuatu","","","31.2","","","","","","","",""
"115"," Viet Nam","","","","","","","6.4","","","3.9",""
"168"," Yemen","","37.5","","","","","","","40.0","",""
"139"," Zambia","","","62.8","","","","","","","54.4",""
"154"," Zimbabwe","","42.4","","","","","41.0","","","28.9",""
"ll: Missing indicators on nutrition.kk: The HDRO specifications refer to somewhat modified definitions of deprivations in some indicators compared to the 2010 specifications. See Kovacevic and Calderon (2014) for details.mm: Refers to urban areas only oo: Missing indicator on child mortality.qq: Missing indicator on type of floor.pp: Missing indicator on cooking fuel.nn: Missing indicator on electricity. rr: Missing indicator on school attendance."