"Population in multidimensional poverty, headcount (thousands)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","16,942","","","",""
"75"," Albania","","","","","35","","","","","",""
"45"," Argentina","1,457","","","","","","","","","",""
"84"," Armenia","","","","","","18","","","","",""
"78"," Azerbaijan","","210","","","","","","","","",""
"139"," Bangladesh","","","87,266","","","","75,878","","","64,816",""
"54"," Barbados","","","","","","","","3","","",""
"52"," Belarus","41","","","","","","","","","",""
"103"," Belize","","20","","","","","24","","","",""
"167"," Benin","","5,897","","","","","","6,454","","",""
"132"," Bhutan","","","","","","212","","","","",""
"118"," Bolivia (Plurinational State of)","","","","1,974","","","","","","",""
"81"," Bosnia and Herzegovina","","133","","","","","","65","","",""
"79"," Brazil","","7,681","","","","","","6,197","5,850","4,994",""
"185"," Burkina Faso","","11,785","","","","12,951","","","","",""
"184"," Burundi","6,977","","","","","7,740","","","","",""
"143"," Cambodia","7,725","","","","","6,721","","","","5,180",""
"153"," Cameroon","","9,636","","","","","10,170","","","",""
"188"," Central African Republic","","3,321","","","","3,392","","","","",""
"186"," Chad","","","","","","10,339","","","","",""
"90"," China","","","","","79,742","","","70,807","","",""
"95"," Colombia","","","","","","3,494","","","","",""
"160"," Comoros","","","","","","","","252","","",""
"135"," Congo","","","","","1,294","","","1,844","","",""
"176"," Congo (Democratic Republic of the)","","","","","","49,067","","","","54,314",""
"171"," Côte d'Ivoire","9,062","","","","","","","12,521","","",""
"172"," Djibouti","","213","","","","","","","","",""
"99"," Dominican Republic","","","593","","","","","","613","",""
"89"," Ecuador","","1,480","","","","","","","","585",""
"111"," Egypt","","","","7,052","","","","","","3,750",""
"174"," Ethiopia","","","","","","","79,298","","","",""
"109"," Gabon","","","","","","","","270","","",""
"173"," Gambia","","904","","","","","","","1,068","",""
"70"," Georgia","99","","","","","","","","","",""
"139"," Ghana","","","","9,059","","","7,592","","","8,688",""
"183"," Guinea","8,363","","","","","","","8,588","","",""
"178"," Guinea-Bissau","","1,201","","","","","","","","",""
"127"," Guyana","","","59","","59","","","","","",""
"163"," Haiti","","5,579","","","","","","5,161","","",""
"130"," Honduras","","2,204","","","","","","1,601","","",""
"131"," India","","642,391","","","","","","","","",""
"113"," Indonesia","","","23,566","","","","","14,644","","",""
"121"," Iraq","","5,118","","","","","4,241","","","",""
"94"," Jamaica","","","","","","102","","76","","",""
"86"," Jordan","","","","","65","","","85","","",""
"56"," Kazakhstan","","283","","","","","178","","","",""
"146"," Kenya","","","","","18,923","","","","","16,170",""
"120"," Kyrgyzstan","","176","","","","","","99","","127",""
"138"," Lao People's Democratic Republic","","3,211","","","","","","2,383","","",""
"160"," Lesotho","","","","","984","","","","","",""
"177"," Liberia","","","2,884","","","","","","3,010","",""
"102"," Libya","","","82","","","","","","","",""
"158"," Madagascar","","","","","15,774","","","","","",""
"170"," Malawi","","","","","","9,849","","","","9,369",""
"105"," Maldives","","","","","7","","","","","",""
"175"," Mali","","11,387","","","","","","","13,009","",""
"157"," Mauritania","","","2,196","","","","2,049","","","",""
"77"," Mexico","","7,728","","","","","","7,346","","",""
"107"," Moldova (Republic of)","55","","","","","","","44","","",""
"92"," Mongolia","462","","","","","302","","","","",""
"48"," Montenegro","","19","","","","","","","3","",""
"123"," Morocco","","","","","","","5,090","","","",""
"181"," Mozambique","","","","","16,544","","17,552","","","",""
"125"," Namibia","","","877","","","","","","1,054","",""
"144"," Nepal","","16,009","","","","","11,264","","","7,493",""
"124"," Nicaragua","","","1,541","","","","1,127","","","",""
"187"," Niger","","13,069","","","","","","15,838","","",""
"152"," Nigeria","","","","81,307","","","70,832","","88,018","",""
"147"," Pakistan","","","69,567","","","","","","82,612","",""
"114"," Palestine, State of","","","74","","","76","","","","65",""
"87"," Peru","","","","4,607","","3,873","3,624","3,150","","",""
"116"," Philippines","","","","6,554","","","","","6,169","",""
"159"," Rwanda","7,791","","","","","7,285","","","","","6,263"
"92"," Saint Lucia","","","","","","","","2","","",""
"142"," Sao Tome and Principe","","","","","79","","","","","",""
"162"," Senegal","8,017","","","","","","9,265","","7,792","7,621",""
"66"," Serbia","","274","","","","23","","","","38",""
"179"," Sierra Leone","","","","4,401","","4,198","","","4,791","",""
"0"," Somalia","","7,104","","","","","","","","",""
"119"," South Africa","","","","4,708","","","","5,446","","",""
"181"," South Sudan","","","","","","8,980","","","","",""
"165"," Sudan","","","","","","19,161","","","","",""
"97"," Suriname","","46","","","","39","","","","",""
"148"," Swaziland","","","","","","309","","","","",""
"149"," Syrian Arab Republic","","1,192","","","1,485","","","","","",""
"129"," Tajikistan","1,002","","","","","","","623","","",""
"151"," Tanzania (United Republic of)","","","","","","30,290","","","","",""
"87"," Thailand","","667","","","","","","","","",""
"82"," The former Yugoslav Republic of Macedonia","62","","","","","","35","","","",""
"133"," Timor-Leste","","","","","","680","","","","",""
"166"," Togo","","3,046","","","","3,250","","","","3,454",""
"65"," Trinidad and Tobago","","23","","","","","","","","",""
"97"," Tunisia","","","","","","","","161","","",""
"111"," Turkmenistan","","144","","","","","","","","",""
"163"," Uganda","","21,602","","","","","24,088","","","",""
"84"," Ukraine","","","262","","","","","161","","",""
"105"," Uzbekistan","","931","","","","","","","","",""
"134"," Vanuatu","","","69","","","","","","","",""
"115"," Viet Nam","","","","","","","5,758","","","3,646",""
"168"," Yemen","","7,903","","","","","","","10,204","",""
"139"," Zambia","","","7,995","","","","","","","8,554",""
"154"," Zimbabwe","","5,570","","","","","5,850","","","4,409",""
"ll: Missing indicators on nutrition.kk: The HDRO specifications refer to somewhat modified definitions of deprivations in some indicators compared to the 2010 specifications. See Kovacevic and Calderon (2014) for details.mm: Refers to urban areas only oo: Missing indicator on child mortality.qq: Missing indicator on type of floor.pp: Missing indicator on cooking fuel.nn: Missing indicator on electricity. rr: Missing indicator on school attendance."